method_name,project,build_id,test_scenario,count_tc,count_commits,apfd,time
RETECS,DSpace@DSpace,80186816,rtptorrent,58,0,0.30172413793103453,0.0
RETECS,DSpace@DSpace,119865043,rtptorrent,20,0,0.525,0.0
RETECS,DSpace@DSpace,106876515,rtptorrent,61,0,0.7295081967213115,0.0
RETECS,DSpace@DSpace,152779334,rtptorrent,59,0,0.05932203389830506,0.0
RETECS,DSpace@DSpace,76898397,rtptorrent,58,0,0.408128078817734,0.0
RETECS,DSpace@DSpace,77478387,rtptorrent,58,0,0.39581280788177337,0.0
RETECS,DSpace@DSpace,106281125,rtptorrent,60,0,0.3,0.0
RETECS,DSpace@DSpace,73618548,rtptorrent,61,0,0.5621225194132874,0.0
RETECS,DSpace@DSpace,14989924,rtptorrent,53,0,0.9150943396226415,0.0
RETECS,DSpace@DSpace,106872875,rtptorrent,61,0,0.15573770491803285,0.0
RETECS,DSpace@DSpace,31827960,rtptorrent,53,0,0.23584905660377353,0.0
RETECS,DSpace@DSpace,32334398,rtptorrent,59,0,0.9915254237288136,0.0
RETECS,DSpace@DSpace,13114915,rtptorrent,16,0,0.28125,0.0
RETECS,DSpace@DSpace,77474212,rtptorrent,58,0,0.4238916256157636,0.0
RETECS,DSpace@DSpace,20796583,rtptorrent,53,0,0.16666666666666663,0.0
RETECS,Graylog2@graylog2-server,10426017,rtptorrent,41,0,0.5,0.0
RETECS,Graylog2@graylog2-server,41283093,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,44338154,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,9076367,rtptorrent,27,0,0.6481481481481481,0.0
RETECS,Graylog2@graylog2-server,43280929,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,36029342,rtptorrent,1,0,1.0,0.0
RETECS,Graylog2@graylog2-server,11593877,rtptorrent,46,0,0.24999999999999994,0.0
RETECS,Graylog2@graylog2-server,11568095,rtptorrent,46,0,0.27173913043478265,0.0
